Name,Age,City,State,Crypto-Kitties
Velma Phelps,54,Detroit,Michigan,1015
Vera Ochoa,62,Casper,Wyoming,966
Anastasia Dillard,47,Sterling Heights,Michigan,1050
Fallon Mclaughlin,34,Kearney,Nebraska,1058
Jocelyn Valenzuela,28,Clarksville,Tennessee,906
Vivian Harmon,38,Kenosha,Wisconsin,963
Latifah Waters,56,New Orleans,Louisiana,1047
Oprah Velasquez,32,Bloomington,Minnesota,801
Hilda Noel,27,Kailua,Hawaii,960
Erin Gallegos,65,St. Petersburg,Florida,1203
Amena Larsen,20,Tallahassee,Florida,889
Sandra Best,42,Reno,Nevada,1029
Erica Brown,41,Columbus,Georgia,999
Destiny Kelley,39,Austin,Texas,988
Rhiannon Gregory,18,Grand Island,Nebraska,1052
Lesley Valencia,59,Bear,Delaware,1054
Gloria Dorsey,37,Boston,Massachusetts,1159
Melanie Conrad,33,South Bend,Indiana,994
Sierra Cash,47,Dover,Delaware,1053
Ciara Gaines,58,Gillette,Wyoming,824
Serena Steele,21,Baltimore,Maryland,952
Latifah Mcneil,25,Springdale,Arkansas,806
Kim Mayer,47,Clarksville,Tennessee,1023
Cheryl Tanner,57,Sioux City,Iowa,886
Lysandra Parrish,39,Lafayette,Louisiana,854
Cora Rosales,44,Bozeman,Montana,825
Irene Mccarty,27,Southaven,Mississippi,994
Hyacinth Lynn,60,Chesapeake,Virginia,1041
Shellie Burks,32,Biloxi,Mississippi,991
Yolanda Sloan,50,Richmond,Virginia,963
Dawn Vaughn,31,Waterbury,Connecticut,1141
Cleo Workman,24,Memphis,Tennessee,1108
Darrel Harvey,30,Waterbury,Connecticut,937
Lenore Wood,49,Springfield,Missouri,1236
Iona Harrington,30,Chandler,Arizona,1109
Bethany Kaufman,58,Columbus,Ohio,791
Alma Rowland,33,North Las Vegas,Nevada,1017
Meghan Morris,34,Georgia,Georgia,944
Ora Landry,20,Richmond,Virginia,1043
Adara Avila,28,Bear,Delaware,916
Martena Herring,18,Lincoln,Nebraska,1092
Dorothy Bennett,48,Jefferson City,Missouri,758
Octavia Cash,60,Tacoma,Washington,924
Joy Lambert,32,Colorado Springs,Colorado,1000
Lunea Villarreal,51,Cedar Rapids,Iowa,1067
Lynn Padilla,35,Tulsa,Oklahoma,982
Octavia Lindsey,28,Metairie,Louisiana,885
Molly Thompson,36,San Francisco,California,1128
Teegan Owen,27,Lewiston,Maine,847
Gisela Bolton,60,Anchorage,Alaska,864
Jillian Drake,26,Owensboro,Kentucky,1084
Darrel Kinney,48,Sterling Heights,Michigan,899
Wanda Hayes,44,Helena,Montana,1046
Alyssa Padilla,44,Gillette,Wyoming,875
Hyacinth Frederick,52,Columbia,Missouri,1135
Ulla Blevins,31,Boise,Idaho,967
Aretha Schneider,46,Oklahoma City,Oklahoma,1152
Xena Patterson,42,Lincoln,Nebraska,947
Simone Hardin,44,Wilmington,Delaware,947
Minerva Hancock,26,Rochester,Minnesota,1066
Lacey Hickman,39,Grand Island,Nebraska,1106
Anastasia Daniels,19,Stamford,Connecticut,1018
Xena Mcfadden,25,Glendale,Arizona,1081
Bianca Atkinson,20,Colchester,Vermont,1003
Ria Meadows,27,Indianapolis,Indiana,865
Indira Roth,20,Jonesboro,Arkansas,1028
Lavinia Armstrong,58,Houston,Texas,978
Mikayla Dixon,39,Columbia,Missouri,884
Kiayada Molina,28,Chicago,Illinois,866
Illiana Moran,19,Wichita,Kansas,1167
Ora Clements,44,Hartford,Connecticut,903
September Battle,38,Lexington,Kentucky,1014
Mercedes Price,43,Gulfport,Mississippi,1172
Sheila Lane,25,Meridian,Idaho,930
Christine Mcdowell,19,Great Falls,Montana,986
Justine Hood,61,Carson City,Nevada,982
Rachel Vasquez,62,Lewiston,Maine,965
Olivia Cantu,52,Provo,Utah,1066
Serina Hooper,45,Atlanta,Georgia,762
Farrah Larson,33,Los Angeles,California,800
Ruth Mayo,55,Jonesboro,Arkansas,986
Vera Anthony,53,Rockville,Maryland,1195
Justine Acosta,35,Birmingham,Alabama,1036
Lunea Benjamin,29,Aurora,Illinois,1199
Dawn Carr,62,Covington,Kentucky,953
Erin Savage,39,Fresno,California,1096
Nadine Horne,46,Sioux City,Iowa,925
Sara Silva,28,Orlando,Florida,1081
Leah Manning,37,Fort Collins,Colorado,997
Kimberley Cameron,32,Springfield,Massachusetts,1050
Kylan Hale,44,Rockford,Illinois,1255
Clare Vazquez,37,Lafayette,Louisiana,1079
Bree Talley,61,Gulfport,Mississippi,801
Barbara Cardenas,26,Flint,Michigan,888
Bell Hardin,30,Henderson,Nevada,1150
Velma Hopper,65,Bozeman,Montana,955
Eugenia Mcdaniel,40,Wichita,Kansas,878
Melanie Christian,53,Nampa,Idaho,900
Lani Saunders,63,Dover,Delaware,926
Macey Kerr,50,Olathe,Kansas,1301
